App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Coursera: Learn career skills,Google Play,org.coursera.android,c19411cb-d408-4204-898e-64d4846a65fc,Spanish,,5,2023-06-14,Dairin Rodriguez,,excelente!!,"",Excellent!!,positive,,English,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3193597422/reply,"[""Satisfied users""]",[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,cdbfebc0-8e01-4a59-8e2c-03870b51109f,Spanish,,5,2023-06-14,Hernan Cieza,,todo ok,,,positive,,Dutch,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3193544953/reply,[],[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,cd78d0c6-790a-4ed6-aaef-8de4e6a46e26,Spanish,,5,2023-06-14,Antonio Elías,,muy buena app,,,positive,,Spanish,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3193475132/reply,[],[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,236bb4d8-f527-4aa0-a31e-1386733d2052,Spanish,,5,2023-06-14,Rosmira Alfaro Ballesta,,súper genial!,,,positive,,Slovak,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3193380512/reply,"[""Satisfied users""]",[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,d52c6168-fba0-447a-ac19-85f4b7fad52f,Spanish,,5,2023-06-13,Nury Sanchez,,"Me gusta mucho, me ofrecen la oportunidad de aprender ☺️","","I like it a lot, they offer me the opportunity to learn ☺️",positive,,Spanish,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3192958310/reply,"[""Satisfied users""]",[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,32f9bc0e-1cfc-4221-855b-4e35b0c1632b,Spanish,,5,2023-06-12,brander pulido,,"The best way to study online is called Coursera, with updated courses taught by experts and top people in each of its branches of science.",,,positive,,English,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3192134519/reply,"[""Connectivity"", ""Satisfied users"", ""Update""]",[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,26e74343-48a8-4180-a0cd-ea3a38fcfcfc,Spanish,,5,2023-06-12,Javier Montes,,"Easy to use and provides a comfortable way to follow the courses, maximazing the space in the screen for the contents.",,,positive,,English,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3192032931/reply,"[""Complexity"", ""Design & UX"", ""Satisfied users"", ""Use cases""]",[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,df2f13d6-631d-4c5b-8c67-29157cc9f32d,Spanish,,4,2023-06-12,Rutbel Abril,,La aplicación es muy amigable pero no reproduce los podcats,"",The app is very friendly but it doesn't play the podcats,neutral,,Spanish,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3191937508/reply,[],[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,c6dc69e0-6ac6-405c-8ddd-4be6a343a959,Spanish,,5,2023-06-11,JUAN DAVID,,The Goat 🐐,,,positive,,Scots,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3191932071/reply,[],[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,25c801eb-e3b4-45d5-88a1-5ea9a4a7bc5f,Spanish,,5,2023-06-11,Un usuario de Google,,"Es magnífico, rápido, intuitivo, una herramienta excelente de aprendizaje e información.","","It is magnificent, fast, intuitive, an excellent tool for learning and information.",positive,,Spanish,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3191541153/reply,"[""Design & UX"", ""Performance"", ""Satisfied users""]",[],[]
Coursera: Learn career skills,Google Play,org.coursera.android,fe60897c-7719-4a1d-b711-b3a299eeb192,Spanish,,5,2023-06-09,Lourdes Valecillos,,excelente plataforma para aprender,"",excellent platform to learn,positive,,Indonesian,,https://app.appbot.co/apps/485593-coursera-learn-career-skills/reviews/3190641828/reply,"[""Satisfied users""]",[],[]
